kanji,keyword,meanings,story,frequency_rank,anki_tag
一,one,"one, one radical (no.1)",atomic,3,
二,two,"two, two radical (no. 7)",atomic,271,
三,three,three,atomic,278,
四,four,four,atomic,614,
五,five,five,atomic,699,
六,six,six,atomic,961,
七,seven,seven,atomic,947,
八,eight,"eight, eight radical (no. 12)",atomic,728,
九,nine,nine,atomic,852,
十,ten,ten,atomic,389,
口,mouth,mouth,atomic,287,
日,day,"day, sun, Japan, counter for days",atomic,1,
月,month,"month, moon",atomic,91,
田,rice field,"rice field, rice paddy",atomic,186,
目,eye,"eye, class, look, insight, experience, care, favor",atomic,62,
古,old,old,"if you have TEN MOUTHS to feed, you get *old* fast",305,
明,bright,"bright, light",the SUN makes the MOON *bright*,130,
早,early,"early, fast",starting the DAY before TEN is *early* for me,343,
自,oneself,"oneself, rtk-primitive: nose",to distinguish *oneself* from you doppelganger you can leave a mark (DROP) above your EYE,34,
白,white,white,"DAYLIGHT is the top DROP of the light spectrum, thus being very *white*",297,
百,hundred,hundred,below only ONE winery there are one *hundred* bottles of WHITE wine,813,
中,in,"in, inside, middle, mean, center",atomic,14,
千,thousand,thousand,atomic,611,
舌,tongue,"tongue, reed, clapper",a *tongue* is a language when it's spoken by a THOUSAND MOUTHS,1661,
丸,round,"round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away",NINE plus a little DROP to *round* up to ten,744,
吾,I,"I, my, our, one's own","*I* have FIVE senses, one of them being taste via the MOUTH",1604,
冒,risk,"risk, face, defy, dare, damage, assume (a name)",looking at the SUN with the EYE can be a *risk*,1364,
上,above,"above, up",atomic,20,
下,below,"below, down, descend, give, low, inferior",atomic,48,
貝,shellfish,shellfish,atomic,1665,
見,see,"see, hopes, chances, idea, opinion, look at, visible",atomic,4,
万,ten thousand,"ten thousand, 10,000",*ten thousand* yen can be ONE bill or a BUNDLE of 1000 yen bills,346,
左,left,left,the *left* SIDE of my brain is for CRAFTS,687,
右,right,right,the *right* SIDE of my brain is for using my MOUTH,685,
刀,sword,"sword, saber, knife",atomic,1570,
刃,blade,"blade, sword, edge",a SWORD with A DROP of blood is the *blade*,1843,suspend_rare
切,cut,"cut, cutoff, be sharp",The SEVEN samurai used their SWORDS to *cut* their opponents.,174,
別,separation,"separate, branch off, diverge, fork, another, extra, specially",strategic *separation* is what SWORDSmen decide for when using their MOUTHS BUNDLED UP,205,
朋,companion,"companion, friend",your *companion* and you are essentially TWO FLESHES of the same kind,9999,suspend_rare
唱,chanted,"chant, recite, call upon, yell","after their team won, the football fans *chanted* with the MOUTH for TWO DAYS in a row",1398,
晶,sparkle,"sparkle, clear, crystal",THREE different LIGHT sources cause a *sparkle* on the diamond,1265,
品,goods,"goods, refinement, dignity, article, counter for meal courses",atomic,5,
呂,spine,"spine, backbone","the *spine* connects two openings (MOUTHS), i.e., head, genitals",941,
昌,prosperously,"prosperous, bright, clear",i can live *prosperously* when  i just go from DAY to DAY without much thinking,1808,suspend_rare
旭,rising sun,"rising sun, morning sun",the *rising sun* is showing its LIGHT behind the NINE mountains,9999,suspend_rare
世,generation,"generation, world, society, public",atomic,194,
胃,stomach,"stomach, paunch, crop, craw",the *stomach* converts vegetables from the FIELD into new FLESH,1499,
旦,sunrise,"rtk: sunrise; daybreak, dawn, morning",the SUN going above ONE horizon during *sunrise*,1182,
胆,gall bladder,"gall bladder, courage, pluck, nerve","the *gall bladder* digests the FLESH before SUNRISE, even if you eat late at night",1846,suspend_rare
亘,span,"span, range, extend over",the *span* of ONE SUNRISE varies by the season,9999,suspend_rare
凹,concave,"concave, hollow, sunken",atomic,1819,suspend_rare
凸,convex,"convex, beetle brow, uneven",atomic,2098,suspend_rare
旧,old times,"old times, old things, old friend, former, ex-",just relive ONE DAY like in the *old times*,1034,
升,measuring box,"measuring box, 1.8 liter",It is a THOUSAND or TEN? I need my *measuring box*,2516,suspend_rare
昇,rise up,rise up,"the DAY i bought a MEASURING BOX, the dough of the cake started to *rise up* more",985,
寸,measurement,"measurement, tenth of a shaku, a little, small, rtk-primitive: glue",The decimal system uses DROPS of TEN as a *measurement*,1491,
肘,elbow,"elbow, arm",the *elbow* was a FLESH (body)-based MEASUREMENT in the middle ages,2226,suspend_rare
専,specialty,"specialty, exclusive, mainly, solely",I studied TEN FIELDS and MEASURED my interest to make a choice about my future *specialty*,424,
博,PhD,"PhD, Dr., command, esteem, win acclaim, Ph.D., exposition, fair",the *PhD* has TEN SPECIALTIES and a DROP more,948,
占,Fortune-telling,"fortune-telling, divining, forecasting, occupy, hold, have, get, take",*Fortune-telling*: using a MOUTH as a DIVINING ROD.,859,
卓,eminent,"eminent (=hervorragend), table, desk, high",The most *eminent* magician is he who learned to use his MAGIC WAND EARLY in life.,1391,
朝,morning,"morning, dynasty, regime, epoch, period, (North) Korea",There is MIST as the MOON fades away in the *morning*,364,
嘲,ridicule,"ridicule, insult",using your MOUTH in the MORNING can be a *ridicule*,2770,suspend_rare
只,only,"only, free, in addition",Imagine an animal with *only* a MOUTH and ANIMAL LEGS.,9999,suspend_rare
唄,songs,"song, ballad",*songs* are often about kissing on the MOUTH and MONEY,1723,
貞,upright,"upright, chastity, constancy, righteousness",a SHELLFISH needs a MAGIC WAND to stand *upright*,1894,suspend_rare
