kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
一	one	one, one radical (no.1)	atomic	3	0001	"<img src=""04e00.svg"">"	
二	two	two, two radical (no. 7)	atomic	271	0002	"<img src=""04e8c.svg"">"	
三	three	three	atomic	278	0003	"<img src=""04e09.svg"">"	
四	four	four	atomic	614	0004	"<img src=""056db.svg"">"	
五	five	five	atomic	699	0005	"<img src=""04e94.svg"">"	
六	six	six	atomic	961	0006	"<img src=""0516d.svg"">"	
七	seven	seven	atomic	947	0007	"<img src=""04e03.svg"">"	
八	eight	eight, eight radical (no. 12)	atomic	728	0008	"<img src=""0516b.svg"">"	
九	nine	nine	atomic	852	0009	"<img src=""04e5d.svg"">"	
十	ten	ten	atomic	389	0010	"<img src=""05341.svg"">"	
口	mouth	mouth	atomic	287	0011	"<img src=""053e3.svg"">"	
日	day	day, sun, Japan, counter for days	atomic	1	0012	"<img src=""065e5.svg"">"	
月	month	month, moon	atomic	91	0013	"<img src=""06708.svg"">"	
田	rice field	rice field, rice paddy	atomic	186	0014	"<img src=""07530.svg"">"	
目	eye	eye, class, look, insight, experience, care, favor	atomic	62	0015	"<img src=""076ee.svg"">"	
古	old	old	if you have TEN MOUTHS to feed, you get *old* fast	305	0016	"<img src=""053e4.svg"">"	
吾	I	I, my, our, one's own	*I* have FIVE senses, one of them being taste via the MOUTH	1604	0017	"<img src=""0543e.svg"">"	
冒	risk	risk, face, defy, dare, damage, assume (a name)	looking at the SUN with the EYE can be a *risk*	1364	0018	"<img src=""05192.svg"">"	
朋	companion	companion, friend	your *companion* and you are essentially TWO FLESHES of the same kind	9999	0019	"<img src=""0670b.svg"">"	suspend_rare
明	bright	bright, light	the SUN makes the MOON *bright*	130	0020	"<img src=""0660e.svg"">"	
唱	chanted	chant, recite, call upon, yell	after their team won, the football fans *chanted* with the MOUTH for TWO DAYS in a row	1398	0021	"<img src=""05531.svg"">"	
晶	sparkle	sparkle, clear, crystal	THREE different LIGHT sources cause a *sparkle* on the diamond	1265	0022	"<img src=""06676.svg"">"	
品	goods	goods, refinement, dignity, article, counter for meal courses	atomic	5	0023	"<img src=""054c1.svg"">"	
呂	spine	spine, backbone	the *spine* connects two openings (MOUTHS), i.e., head, genitals	941	0024	"<img src=""05442.svg"">"	
昌	prosperously	prosperous, bright, clear	i can live *prosperously* when  i just go from DAY to DAY without much thinking	1808	0025	"<img src=""0660c.svg"">"	suspend_rare
早	early	early, fast	starting the DAY before TEN is *early* for me	343	0026	"<img src=""065e9.svg"">"	
